(graphit grey)=0.4
(‘best retro)=0.6666666666666666
(religion item)=0.5
(miner green)=0.6666666666666666
(allblack style)=0.6666666666666666
(collect street)=0.012738853503184714
(introduc forev)=0.14285714285714285
(bardot shapingstyl)=0.6666666666666666
(chic soggi)=0.05714285714285714
(skirt chic)=0.06060606060606061
(chennai bring)=0.6666666666666666
(poppi delevingn)=0.6666666666666666
(ride commut)=0.25
(tonight gig)=0.07407407407407407
(friend school)=0.034482758620689655
(help madeofprogress)=0.2222222222222222
(ghotg photograph)=0.6666666666666666
(shop week)=0.01818181818181818
(ootd jade)=0.05
(skinni straight)=0.02857142857142857
(peplum crop)=0.6666666666666666
(fyi class)=0.2857142857142857
(hungri varieti)=0.6666666666666666
(style stylist)=0.006349206349206349
(shop photo)=0.007462686567164179
(festiv occas)=0.10526315789473684
(recent levi)=0.3333333333333333
(like great)=0.027777777777777776
(angela lindval)=0.6666666666666666
(artist talk)=0.15384615384615385
(pull peacockblu)=0.2
(onlin happi)=0.01652892561983471
(tardi ash)=0.6666666666666666
(finish super)=0.25
(•memori day)=1.0
(style regular)=0.007874015748031496
(eileenfish bedstü)=0.6666666666666666
(believ live)=0.18181818181818182
(night event)=0.02564102564102564
(gift parent)=0.05714285714285714
(flagship locat)=0.3333333333333333
(m reflect)=5.017561465127947E-4
(eddi vedder)=0.3333333333333333
(ashton kutcher)=1.0
(liketkit sign)=0.3333333333333333
(look levi)=0.011695906432748537
(night catch)=0.0273972602739726
(rise short)=0.10526315789473684
(invit year)=0.18181818181818182
(tr exclus)=0.0037243947858473
(boot free)=0.03508771929824561
(cool classic)=0.05555555555555555
(denim raffl)=0.024096385542168676
(freepeopl fpme)=0.13333333333333333
(denim pick)=0.00904977375565611
(inquiri simplic)=0.11764705882352941
(buzz orang)=0.07142857142857142
(merchandis pmpm)=0.6666666666666666
(chanc forev)=0.0625
(break week)=0.25
(comfort favorit)=0.1
(rome featur)=0.6666666666666666
(hot cool)=0.022727272727272728
(champagn eliaszandella)=0.3333333333333333
(dress ensembl)=0.03278688524590164
(checker peplum)=1.0
(tank bare)=0.019801980198019802
(new yorkbas)=0.010050251256281407
(pitt film)=0.18181818181818182
(– levi)=0.06382978723404255
(style present)=0.006309148264984227
(peopl class)=0.0392156862745098
(testament strength)=0.6666666666666666
(moment fashion)=0.14285714285714285
(nat parabol)=0.029411764705882353
(trusti old)=0.6666666666666666
(express perfect)=0.5
(captur glen)=0.5
(alik true)=0.4
(total obsses)=1.0
(supermodel behati)=0.2857142857142857
(short eliaszandella)=0.022727272727272728
(deep summer)=0.25
(spirit giambattistavallixfam)=0.3333333333333333
(bubbl wear)=0.6666666666666666
(week sun)=0.013605442176870748
(run vein)=0.05
(comfi wear)=0.2222222222222222
(underst bold)=0.4
(europ shop)=0.6666666666666666
(leather belt)=0.43902439024390244
(discov citi)=0.06666666666666667
(small graphit)=0.2
(nsf cloth)=0.6666666666666666
(jean shop)=0.013793103448275862
(shop darma)=0.0064516129032258064
(grey fam)=0.18181818181818182
(luxeperform sateen)=0.6666666666666666
(start earli)=0.02631578947368421
(time spirit)=0.0392156862745098
(good introduc)=0.046511627906976744
(week pari)=0.010362694300518135
(collect end)=0.014925373134328358
(contest start)=0.2
(link detail)=0.08
(coolest jean)=0.6666666666666666
(carri day)=0.2222222222222222
(color shapingstyl)=0.10526315789473684
(love keep)=0.03225806451612903
(fashion thing)=0.014184397163120567
(hoofdrol monroeblond)=0.6666666666666666
(accessori click)=0.2222222222222222
(open knit)=0.0625
(yorkbas artist)=0.6666666666666666
(collect contemporari)=0.016
(hajela bombay)=0.6666666666666666
(zipin hood)=0.6666666666666666
(hand best)=0.05714285714285714
(peopl eliaszandella)=0.1
(gap jean)=0.2857142857142857
(day excus)=0.006472491909385114
(bag hobo)=0.034482758620689655
(soft powder)=0.2
(warm trend)=0.11764705882352941
(basic summerstyl)=0.14285714285714285
(overnight ship)=0.6666666666666666
(buzzmr necklac)=0.6666666666666666
(featur patchwork)=0.04081632653061224
(word plus)=0.18181818181818182
(short plus)=0.021052631578947368
(roll discov)=0.125
(london oldgringoboot)=0.18181818181818182
(littl extra)=0.047619047619047616
(classicpump affordablesho)=0.4
(style chrisell)=0.006802721088435374
(chaser tank)=1.0
(furstenberg tank)=0.6666666666666666
(buddha smile)=0.6666666666666666
(campaign concept)=0.04878048780487805
(island sunglass)=0.6666666666666666
(step levi)=0.09523809523809523
(shirt magicmikexxl)=0.04081632653061224
(dvf dian)=0.6666666666666666
(way discov)=0.027777777777777776
(gig levi)=0.14285714285714285
(select heart)=0.08333333333333333
(super excit)=0.2
(favorit brand)=0.03571428571428571
(spanish‿ –)=0.6666666666666666
(last year)=0.10526315789473684
(footwear jj)=0.3333333333333333
(shirt skirt)=0.03636363636363636
(ave allstar)=0.019230769230769232
(mila free)=0.2222222222222222
(locat citi)=0.08333333333333333
(pant style)=0.08
(product number)=0.11764705882352941
(artist dualist)=0.3333333333333333
(comfort skin)=0.14285714285714285
(beyonc denim)=0.6666666666666666
(zara pichulik)=0.024691358024691357
(twist fall)=0.25
(pleasefor varsiti)=0.6666666666666666
(truetos upsiz)=0.4
(play sleep)=0.13333333333333333
(season paper)=0.020202020202020204
(chapter come)=0.6666666666666666
(meet flatlock)=0.08695652173913043
(runway leg)=0.3076923076923077
(galleria west)=0.4
(white true)=0.05084745762711865
(max card)=0.15384615384615385
(month shop)=0.11764705882352941
(day tomorrow)=0.013289036544850499
(yuri pleskun)=0.6666666666666666
(belt park)=0.045454545454545456
(kate moss)=0.6666666666666666
(warm street)=0.1111111111111111
(fit chest)=0.021505376344086023
(event bangalor)=0.06060606060606061
(longbeachcalifornia toywatch)=0.6666666666666666
(th avenu)=0.0010970927043335162
(ricki corduroy)=0.4
(jean remain)=0.007194244604316547
(preview open)=0.2
(manag jw)=0.6666666666666666
(wear just)=0.019417475728155338
(weekend getaway)=0.06060606060606061
(fit mom)=0.022222222222222223
(toywatch offici)=0.6666666666666666
(seen heard)=0.2222222222222222
(vein spool)=0.05555555555555555
(boardroom liveinlevi)=0.6666666666666666
(shopper free)=0.6666666666666666
(women free)=0.043478260869565216
(downsiz slim)=0.4
(pick favorit)=0.0625
(fall pair)=0.018518518518518517
(leng uk)=0.5
(second shoot)=0.3333333333333333
(lemonberryca josefina)=0.5
(goa diari)=1.0
(yall new)=0.6666666666666666
(corduroy free)=0.4
(stock style)=0.08333333333333333
(check week)=0.034482758620689655
(licens steal)=0.6666666666666666
(corner dont)=0.3333333333333333
(shapingstyl shop)=0.6666666666666666
(return summer)=0.2222222222222222
(konrath style)=0.6666666666666666
