(inspir fam)=0.10526315789473684
(fxme floralcolor)=0.6666666666666666
(guid cantmiss)=0.5
(ironmanmagazin worldswimsuitsa)=0.6666666666666666
(coco guess)=0.6666666666666666
(sold shop)=0.6666666666666666
(scallop necklin)=1.0
(run latean)=0.13333333333333333
(gila jean)=0.6666666666666666
(make custom)=0.06666666666666667
(phoebejtonkin favourit)=0.2857142857142857
(jean levi)=0.0136986301369863
(gisell romero)=0.4
(want updat)=0.1111111111111111
(life chao)=0.08
(delic jumpsuit)=0.5
(thread creativ)=0.09523809523809523
(girl fthreadscreen)=0.038461538461538464
(staff clock)=0.5
(recent levi)=0.5
(today alexisdiazart)=0.06060606060606061
(got year)=0.05405405405405406
(love dress)=0.013745704467353952
(realli fit)=0.2857142857142857
(help combin)=0.375
(– tan)=0.5
(short that)=0.06060606060606061
(petit brand)=0.4
(buzzin like)=0.6666666666666666
(need let)=0.06666666666666667
(pair freepeopl)=0.0425531914893617
(skinnyjean right)=0.5
(imag fall)=0.4
(ragbon vinc)=0.018691588785046728
(charlotteruss caus)=0.6666666666666666
(grey mint)=0.16666666666666666
(maximmag love)=0.6666666666666666
(combin green)=0.3333333333333333
(enthusiast reali)=0.6666666666666666
(thing came)=0.08333333333333333
(day ragbon)=0.010309278350515464
(seen gwyneth)=0.2857142857142857
(freepeopl fpme)=0.01834862385321101
(style trend)=0.03225806451612903
(love magazin)=0.005698005698005698
(store fantast)=0.0625
(woman substanti)=0.5
(love denim)=0.010810810810810811
(forev fthreadscreen)=0.018518518518518517
(summer sale)=0.10810810810810811
(freepeopl styleblog)=0.024691358024691357
(left wrist)=0.4
(make better)=0.08333333333333333
(favorit tee)=0.058823529411764705
(new print)=0.0136986301369863
(new ragandbon)=0.011299435028248588
(freepeopl vintag)=0.02631578947368421
(hm play)=0.009478672985781991
(yesterday london)=0.125
(singl week)=0.4
(sandal sale)=0.2857142857142857
(caus ill)=0.1111111111111111
(fashion zone)=0.023809523809523808
(check look)=0.16666666666666666
(kendalljenn rock)=0.4
(shoutout hm)=0.6666666666666666
(gorgeousand denim)=0.6666666666666666
(itsmrm umpir)=1.0
(outfit date)=0.05128205128205128
(ss best)=0.006514657980456026
(freepeopl moment)=0.006644518272425249
(curs freepeopl)=1.0
(latest menswear)=0.4
(dtla forev)=0.6666666666666666
(x benetton)=0.012345679012345678
(stone graffiti)=0.6666666666666666
(stud ragandbon)=0.5
(avail dark)=0.15384615384615385
(pop colour)=0.10526315789473684
(jean mango)=0.0136986301369863
(stripe maxi)=0.3333333333333333
(mean colleg)=0.2857142857142857
(perfect winter)=0.045454545454545456
(commut jean)=0.6666666666666666
(thx u)=0.3333333333333333
(artwork soho)=0.6666666666666666
(pick make)=0.1111111111111111
(forev built)=0.018867924528301886
(love ragbon)=0.009615384615384616
(u knew)=0.0011883541295306002
(forev nicaragua)=0.00980392156862745
(devynn luv)=1.0
(u ili)=0.0013063357282821686
(slim fit)=0.2222222222222222
(gerardyosca jewel)=0.6666666666666666
(hat surpris)=0.034482758620689655
(love tshirt)=0.007017543859649123
(caviarncatwalk nike)=1.0
(guess bro)=0.02531645569620253
(athlet pant)=0.5
(mall session)=0.2
(twist torigonzal)=0.4
(joesjean ragbon)=0.6666666666666666
(crop black)=0.4
(sweater welcom)=0.07142857142857142
(pair mom)=0.044444444444444446
(mule perfect)=0.5
(summerstyl travel)=0.6666666666666666
(freepeopl sunev)=0.010810810810810811
(sephora yup)=0.4
(twist weekend)=0.2857142857142857
(rachaelmyrow yr)=1.0
(gotta love)=0.6666666666666666
(matt spitzer)=0.2
(wmag meet)=1.0
(dark rose)=0.4
(earring rocksbox)=0.2222222222222222
(boot retail)=0.09090909090909091
(speedi deliveri)=0.6666666666666666
(lead beauti)=0.2857142857142857
(win ticket)=0.07692307692307693
(alic jean)=0.6666666666666666
(unnot lucki)=0.6666666666666666
(sweet sassi)=0.15384615384615385
(holiday love)=0.4
(modern twist)=0.3333333333333333
(pledg sister)=0.6666666666666666
(mall forallmankind)=0.16666666666666666
(girl levi)=0.038461538461538464
(abbystrand im)=1.0
(rock gorgeous)=0.15384615384615385
(shoe pick)=0.08
(bordweezi dont)=1.0
(obsess color)=0.09523809523809523
(im receiv)=0.014388489208633094
(gem hm)=0.5
(thank care)=0.023255813953488372
(obsess kiyokothebrand)=0.11764705882352941
(super excit)=0.18181818181818182
(catalog sneak)=0.6666666666666666
(favorit brand)=0.07692307692307693
(media fun)=0.4
(thank mention)=0.022222222222222223
(pride show)=0.6666666666666666
(cougarcallgirl sweater)=1.0
(bone best)=0.021052631578947368
(ppl got)=0.16666666666666666
(sweater avail)=0.15
(favorit day)=0.047619047619047616
(naomi look)=0.2222222222222222
(dreamwhipzig srt)=1.0
(hi love)=0.004629629629629629
(nordstrom anniversari)=0.2857142857142857
(fav design)=0.03278688524590164
(ralphlauren davidbeckhamweb)=0.6666666666666666
(freepeopl top)=0.04
(boot forev)=0.05714285714285714
(pickmystyl maxi)=1.0
(collect shape)=0.16666666666666666
(tank fmen)=0.15384615384615385
(look good)=0.03488372093023256
(fblogger stylish)=0.11764705882352941
(exampl nonprofit)=0.6666666666666666
(jean collect)=0.008130081300813009
(wit da)=0.02247191011235955
(swore u)=0.6666666666666666
(aritzia rag)=0.6666666666666666
(kate moss)=0.4
(work legend)=0.05263157894736842
(alaia ill)=0.6666666666666666
(glamourpari dress)=0.6666666666666666
(shop mango)=0.025210084033613446
(store im)=0.05555555555555555
(eleph sweater)=0.6666666666666666
(fashion post)=0.02702702702702703
(save reus)=0.125
(fpme seattlesummerstyl)=0.2857142857142857
(forev earring)=0.010752688172043012
(luxuri coat)=0.6666666666666666
(normal blue)=0.6666666666666666
(eirelav week)=1.0
(pant stock)=0.08695652173913043
(hit floor)=0.044444444444444446
(fahmida know)=0.6666666666666666
(hm tonight)=0.015748031496062992
(sistasooth hm)=1.0
(arianagrand gurjeet)=0.6666666666666666
(beauti pic)=0.07407407407407407
(wish tell)=0.2
(guess hello)=0.01694915254237288
(purchas enzoangiolini)=0.18181818181818182
(tag bff)=0.05263157894736842
(store hm)=0.05714285714285714
(freepeopl just)=0.03571428571428571
(levi icospirit)=0.023809523809523808
