(newlook appli)=0.6666666666666666
(hairspray open)=0.6666666666666666
(bracket guess)=0.6666666666666666
(pass hint)=0.1111111111111111
(goodnight makeup)=0.25
(canada look)=0.2222222222222222
(everyday famili)=0.3333333333333333
(news just)=0.2222222222222222
(sushi chef)=0.15384615384615385
(karenhojo aww)=1.0
(eat supper)=0.02247191011235955
(membership valuabl)=0.4
(bacon wrap)=0.2222222222222222
(year round)=0.07407407407407407
(addict guessup)=0.6666666666666666
(reallymendess aw)=1.0
(cheesecak factori)=0.25
(fruit platter)=0.06060606060606061
(quit recent)=0.3333333333333333
(town park)=0.10526315789473684
(jean levi)=0.2222222222222222
(live japan)=0.10526315789473684
(yearsquest guess)=0.5
(just tri)=0.022222222222222223
(dole whip)=0.6666666666666666
(fan challeng)=0.06060606060606061
(colada mango)=0.6666666666666666
(write ebookr)=0.3333333333333333
(way caluebear)=0.03773584905660377
(friend check)=0.06060606060606061
(social appli)=0.5
(guess befun)=0.003795066413662239
(coffe mango)=0.4
(execut life)=1.0
(day right)=0.015748031496062992
(know attack)=0.08695652173913043
(coke mango)=0.6666666666666666
(eager asha)=0.4
(rememb peopl)=0.2222222222222222
(man thing)=0.0038095238095238095
(spinach mango)=0.2222222222222222
(work comact)=0.047619047619047616
(just shower)=0.0196078431372549
(commi dépanneur)=0.4
(lordoreo guess)=1.0
(man request)=0.00333889816360601
(work caus)=0.034482758620689655
(gone hello)=0.2222222222222222
(day c)=0.041666666666666664
(loss aid)=0.3333333333333333
(meg whitman)=0.2
(bbanim realiz)=1.0
(pablopicasso mango)=0.6666666666666666
(realiti suck)=0.6666666666666666
(that happen)=0.018867924528301886
(chees wrap)=0.07142857142857142
(mac vscocam)=0.13333333333333333
(cafekreyol im)=0.6666666666666666
(bass god)=0.6666666666666666
(mozheart thank)=1.0
(roast chicken)=0.2857142857142857
(mango bud)=0.006600660066006601
(love tea)=0.02
(pe iamjhennjhenn)=0.006993006993006993
(ramirez estat)=0.6666666666666666
(th selfi)=0.003367003367003367
(starbuck jennif)=0.2857142857142857
(missnozzi guess)=1.0
(cut shop)=0.06451612903225806
(u look)=7.000350017500875E-4
(audit fifth)=0.2857142857142857
(africa quiz)=0.5
(eat bacon)=0.02197802197802198
(stgeorg ou)=0.6666666666666666
(video blame)=0.08333333333333333
(blackberri mango)=1.0
(salut ben)=0.6666666666666666
(johniovelac fuck)=0.6666666666666666
(noah enjoy)=0.6666666666666666
(just lame)=0.018867924528301886
(dude guess)=0.2222222222222222
(sisiddpriya dd)=1.0
(coconut pop)=0.18181818181818182
(im unidentifi)=0.006309148264984227
(wait till)=0.13333333333333333
(mango diabet)=0.004962779156327543
(arianagrand hey)=1.0
(dunman food)=0.6666666666666666
(chicken chile)=0.2222222222222222
(file orzguess)=0.5
(raspberri cherri)=0.4
